epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.578,0.55433,0.88581,1.13919,0.87615,0.79468,0.88851,0.8371,0.33386,0.60626,0.96422,0.000416448,0.000416448,0.000416448
2,1047.34,0.5766,0.85149,1.14597,0.85123,0.82631,0.88304,0.82259,0.36373,0.60871,0.97455,0.000824866,0.000824866,0.000824866
3,1577.59,0.61217,0.87925,1.17027,0.83469,0.82574,0.88384,0.8168,0.3867,0.64985,0.9971,0.00122504,0.00122504,0.00122504
4,2109.55,0.62421,0.93081,1.17776,0.87484,0.8238,0.90011,0.8371,0.39568,0.62915,0.98774,0.00121287,0.00121287,0.00121287
5,2641.44,0.61762,0.89638,1.17544,0.85014,0.80833,0.88217,0.8263,0.37212,0.69438,0.98224,0.0012005,0.0012005,0.0012005
6,3171.64,0.60836,0.87253,1.16212,0.83246,0.7957,0.8626,0.79721,0.39745,0.70335,1.00447,0.00118812,0.00118812,0.00118812
7,3696.18,0.59842,0.84042,1.15966,0.8238,0.84012,0.88794,0.82588,0.37242,0.65205,0.97418,0.00117575,0.00117575,0.00117575
8,4219.01,0.60131,0.82438,1.16048,0.83363,0.82418,0.8891,0.81532,0.39411,0.64481,0.99689,0.00116337,0.00116337,0.00116337
9,4738.36,0.60052,0.81997,1.16368,0.80575,0.80307,0.8705,0.79284,0.42819,0.68713,1.0263,0.001151,0.001151,0.001151
10,5256.04,0.58177,0.7863,1.15179,0.82232,0.83723,0.89118,0.83891,0.34413,0.61707,0.95688,0.00113863,0.00113863,0.00113863
11,5772.11,0.5696,0.78634,1.13916,0.81771,0.81754,0.88512,0.8266,0.36067,0.67142,0.96897,0.00112625,0.00112625,0.00112625
12,6287.51,0.56604,0.77413,1.14412,0.79277,0.82585,0.87843,0.82713,0.34866,0.64085,0.9643,0.00111388,0.00111388,0.00111388
13,6801.86,0.56532,0.74923,1.13916,0.84468,0.83098,0.88278,0.82134,0.35663,0.65761,0.97232,0.0011015,0.0011015,0.0011015
14,7310.79,0.56176,0.74178,1.1366,0.85339,0.83013,0.9028,0.84818,0.36951,0.60083,0.9846,0.00108913,0.00108913,0.00108913
15,7805.25,0.56078,0.73873,1.13793,0.85336,0.82859,0.89823,0.8475,0.35167,0.59666,0.96292,0.00107675,0.00107675,0.00107675
16,8300.78,0.54807,0.71331,1.12083,0.85301,0.83605,0.89328,0.84385,0.35098,0.59149,0.96608,0.00106437,0.00106437,0.00106437
17,8794.46,0.552,0.73775,1.12456,0.80212,0.84875,0.8943,0.8372,0.33383,0.61861,0.94758,0.001052,0.001052,0.001052
18,9288.83,0.54912,0.70186,1.12365,0.83976,0.85148,0.90149,0.85441,0.32939,0.60553,0.94932,0.00103962,0.00103962,0.00103962
19,9784.9,0.55393,0.69759,1.13543,0.86603,0.80483,0.89616,0.85201,0.32736,0.64601,0.94246,0.00102725,0.00102725,0.00102725
20,10281.1,0.5417,0.69692,1.12666,0.87432,0.80299,0.88974,0.83671,0.32173,0.62417,0.93843,0.00101488,0.00101488,0.00101488
21,10777.1,0.54956,0.70372,1.13412,0.86762,0.83977,0.8958,0.84308,0.34124,0.58089,0.95169,0.0010025,0.0010025,0.0010025
22,11272,0.54202,0.70448,1.1264,0.85305,0.83768,0.89202,0.83657,0.32801,0.58826,0.93996,0.000990125,0.000990125,0.000990125
23,11767.1,0.51998,0.66552,1.11194,0.84309,0.83105,0.89455,0.84224,0.3263,0.59843,0.9415,0.00097775,0.00097775,0.00097775
24,12261.4,0.53324,0.68261,1.11772,0.84941,0.84449,0.90187,0.85051,0.33298,0.59699,0.95923,0.000965375,0.000965375,0.000965375
25,12757.2,0.5279,0.66334,1.11997,0.81481,0.85346,0.90258,0.85581,0.32682,0.56541,0.95512,0.000953,0.000953,0.000953
26,13251.2,0.5214,0.63915,1.10965,0.88577,0.82338,0.90331,0.85137,0.3145,0.53805,0.93994,0.000940625,0.000940625,0.000940625
27,13746.3,0.52541,0.64415,1.11595,0.90697,0.81538,0.9158,0.86697,0.31842,0.54073,0.93768,0.00092825,0.00092825,0.00092825
28,14241.1,0.51212,0.62992,1.10142,0.86599,0.83822,0.9091,0.86116,0.31332,0.56299,0.93144,0.000915875,0.000915875,0.000915875
29,14737.4,0.51627,0.62759,1.11095,0.88452,0.82944,0.90987,0.86099,0.30694,0.53783,0.92768,0.0009035,0.0009035,0.0009035
30,15232.8,0.50816,0.63034,1.10488,0.85108,0.82645,0.90183,0.86342,0.29877,0.57748,0.92798,0.000891125,0.000891125,0.000891125
31,15727.4,0.50884,0.64133,1.10459,0.84969,0.86351,0.90808,0.86253,0.30104,0.53076,0.92972,0.00087875,0.00087875,0.00087875
32,16223,0.51231,0.61674,1.10109,0.82634,0.87103,0.90405,0.86481,0.30205,0.59056,0.92426,0.000866375,0.000866375,0.000866375
33,16718.9,0.50572,0.6069,1.10043,0.88151,0.86619,0.90988,0.86907,0.30232,0.51475,0.9328,0.000854,0.000854,0.000854
34,17213.8,0.49956,0.60067,1.09512,0.83735,0.86167,0.90193,0.85428,0.29748,0.56596,0.92563,0.000841625,0.000841625,0.000841625
35,17708.4,0.49955,0.585,1.09587,0.88302,0.81267,0.89199,0.84844,0.29713,0.57993,0.92193,0.00082925,0.00082925,0.00082925
36,18204.2,0.50088,0.58058,1.09504,0.88065,0.856,0.90646,0.86796,0.29214,0.52363,0.92418,0.000816875,0.000816875,0.000816875
37,18700.2,0.50277,0.58703,1.09653,0.88117,0.83981,0.89792,0.85729,0.29291,0.53902,0.92269,0.0008045,0.0008045,0.0008045
38,19194.9,0.50384,0.58235,1.09412,0.88693,0.86639,0.91377,0.87158,0.29159,0.51474,0.9277,0.000792125,0.000792125,0.000792125
39,19690.8,0.48662,0.56136,1.08712,0.90169,0.8398,0.91318,0.87326,0.29032,0.50096,0.92431,0.00077975,0.00077975,0.00077975
40,20184.8,0.49493,0.58118,1.09385,0.8634,0.87536,0.91816,0.8726,0.30304,0.49846,0.93464,0.000767375,0.000767375,0.000767375
41,20688.5,0.49566,0.54948,1.09273,0.8945,0.87088,0.92043,0.87626,0.3189,0.49636,0.94637,0.000755,0.000755,0.000755
42,21191.9,0.48473,0.54734,1.0844,0.87399,0.84994,0.90967,0.87009,0.28099,0.55991,0.9108,0.000742625,0.000742625,0.000742625
43,21687.8,0.48439,0.54251,1.083,0.8835,0.86018,0.92056,0.87567,0.29265,0.48379,0.92114,0.00073025,0.00073025,0.00073025
44,22182.4,0.48258,0.54149,1.08094,0.8996,0.8671,0.93031,0.88542,0.28685,0.47151,0.91548,0.000717875,0.000717875,0.000717875
45,22677.3,0.48073,0.53879,1.08518,0.87861,0.84967,0.917,0.87286,0.29428,0.50496,0.92711,0.0007055,0.0007055,0.0007055
46,23171.1,0.47276,0.53531,1.08182,0.87982,0.86329,0.92197,0.88122,0.29427,0.5007,0.92812,0.000693125,0.000693125,0.000693125
47,23665.2,0.47957,0.53616,1.08552,0.8572,0.88551,0.92106,0.87716,0.29329,0.50112,0.92428,0.00068075,0.00068075,0.00068075
